"","Domain","Phylum","Class","Order","Family","Genus"
"OTU2580","Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes"
"OTU38576","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","uncl_Solirubrobacterales","uncl_Solirubrobacterales"
"OTU13508","Bacteria","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria"
"OTU22801","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","uncl_Micromonosporaceae"
"OTU8723","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6"
"OTU66702","Bacteria","Proteobacteria","Deltaproteobacteria","uncl_Deltaproteobacteria","uncl_Deltaproteobacteria","uncl_Deltaproteobacteria"
"OTU11461","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6"
"OTU3631","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria","Spartobacteria_genera_incertae_sedis"
"OTU7503","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncl_Gemmatimonadaceae"
"OTU8778","Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes"
"OTU9065","Bacteria","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","WPS-1_genera_incertae_sedis"
"OTU447","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncl_Comamonadaceae"
"OTU6286","Bacteria","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria"
"OTU2889","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria"
"OTU4765","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"OTU18015","Bacteria","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria"
"OTU6781","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria"
"OTU15271","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","uncl_Gemmatimonadales","uncl_Gemmatimonadales"
"OTU11170","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria","Spartobacteria_genera_incertae_sedis"
"OTU17904","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Byssovorax"
