,sign,Domain,Phylum,Class,Order,Family,Genus
OTU21039,NS,Bacteria,Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria
OTU410,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU26,Specialists,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncl_Comamonadaceae
OTU1645,Specialists,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
OTU22832,NS,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Isosphaeraceae,uncl_Isosphaeraceae
OTU5597,NS,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,uncl_Flavobacteriaceae
OTU56636,NS,Bacteria,Actinobacteria,Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia
OTU3500,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,Acidibacter
OTU596,NS,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU422,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU8,Specialists,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
OTU68,Generalists,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncl_Acidimicrobiales,uncl_Acidimicrobiales
OTU10371,Generalists,Bacteria,Verrucomicrobia,Spartobacteria,uncl_Spartobacteria,uncl_Spartobacteria,Spartobacteria_genera_incertae_sedis
OTU229,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,Acidibacter
OTU1426,Generalists,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU1151,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
OTU1403,Generalists,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Parviterribacteraceae,Parviterribacter
OTU1423,Specialists,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU445,Generalists,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium
OTU612,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU1702,Generalists,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,uncl_Solirubrobacterales,uncl_Solirubrobacterales
OTU9679,Generalists,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncl_Gaiellales,uncl_Gaiellales
OTU1452,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU580,Generalists,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,uncl_Solirubrobacterales,uncl_Solirubrobacterales
OTU4440,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU2479,Generalists,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU83508,Specialists,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis
OTU278,Generalists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea
OTU1293,NS,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Daejeonella
OTU3507,Generalists,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
OTU4251,Generalists,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncl_Gemmatimonadaceae
OTU295,Specialists,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
OTU27857,Generalists,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
OTU235,Generalists,Bacteria,Actinobacteria,Acidimicrobiia,uncl_Acidimicrobiia,uncl_Acidimicrobiia,uncl_Acidimicrobiia
OTU8917,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU352,Generalists,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncl_Comamonadaceae
OTU3724,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Geminicoccaceae,uncl_Geminicoccaceae
OTU34,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU1258,Generalists,Bacteria,Proteobacteria,Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria
OTU9731,NS,Bacteria,Acidobacteria,Acidobacteria_Gp4,uncl_Acidobacteria_Gp4,uncl_Acidobacteria_Gp4,uncl_Acidobacteria_Gp4
OTU314,Specialists,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
OTU5792,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU2856,Generalists,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,uncl_Solirubrobacterales,uncl_Solirubrobacterales
OTU131,Generalists,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter
OTU501,Specialists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU3832,NS,Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobium
OTU1246,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,uncl_Rhodanobacteraceae
OTU3501,NS,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
OTU45058,NS,Bacteria,candidate_division_WPS-1,uncl_candidate_division_WPS-1,uncl_candidate_division_WPS-1,uncl_candidate_division_WPS-1,WPS-1_genera_incertae_sedis
OTU198,Generalists,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Desertimonas
OTU606,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp10,uncl_Acidobacteria_Gp10,uncl_Acidobacteria_Gp10,Gp10
OTU781,Generalists,Bacteria,Verrucomicrobia,Spartobacteria,uncl_Spartobacteria,uncl_Spartobacteria,Spartobacteria_genera_incertae_sedis
OTU942,Generalists,Bacteria,Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria
OTU4888,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,Gp16
OTU38158,Specialists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,uncl_Fulvivirgaceae
OTU540,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,uncl_Erythrobacteraceae
OTU149,Specialists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU5090,Specialists,Bacteria,Actinobacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU55,Specialists,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU154,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,uncl_Bradyrhizobiaceae
OTU7,Specialists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
OTU673,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
OTU6093,NS,Bacteria,Verrucomicrobia,Spartobacteria,uncl_Spartobacteria,uncl_Spartobacteria,Spartobacteria_genera_incertae_sedis
OTU202,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Pseudorhodoplanes
OTU3970,Specialists,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU417,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,uncl_Bradyrhizobiaceae
OTU25207,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU1693,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU1245,Generalists,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU27199,NS,Bacteria,candidate_division_WPS-1,uncl_candidate_division_WPS-1,uncl_candidate_division_WPS-1,uncl_candidate_division_WPS-1,WPS-1_genera_incertae_sedis
OTU317,Generalists,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
OTU1027,Generalists,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU4459,NS,Bacteria,Actinobacteria,Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia
OTU1231,Generalists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU62474,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,uncl_Sphingomonadaceae
OTU8767,Specialists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis
OTU1852,Generalists,Bacteria,Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria
OTU35215,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,uncl_Sphingomonadales,uncl_Sphingomonadales
OTU1601,NS,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Nocardiaceae,Nocardia
OTU836,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU1220,Generalists,Bacteria,Verrucomicrobia,Spartobacteria,uncl_Spartobacteria,uncl_Spartobacteria,Spartobacteria_genera_incertae_sedis
OTU37060,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,uncl_Rhizobiaceae
OTU761,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Sphingoaurantiacus
OTU554,Generalists,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,uncl_Burkholderiales,uncl_Burkholderiales
OTU868,Generalists,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncl_Acidimicrobiales,uncl_Acidimicrobiales
OTU171,Specialists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU69,Generalists,Bacteria,Actinobacteria,Actinobacteria,Cryptosporangiales,Cryptosporangiaceae,Cryptosporangium
OTU2304,Specialists,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU1276,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU17671,Generalists,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU1749,Generalists,Bacteria,Actinobacteria,Acidimicrobiia,uncl_Acidimicrobiia,uncl_Acidimicrobiia,uncl_Acidimicrobiia
OTU78,Specialists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU4293,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU4682,Generalists,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncl_Acidimicrobiales,uncl_Acidimicrobiales
OTU558,Generalists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas
OTU61538,NS,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU12821,NS,Bacteria,Bacteroidetes,uncl_Bacteroidetes,uncl_Bacteroidetes,uncl_Bacteroidetes,uncl_Bacteroidetes
OTU421,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,uncl_Gammaproteobacteria,uncl_Gammaproteobacteria,uncl_Gammaproteobacteria
OTU574,Generalists,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,uncl_Burkholderiales,uncl_Burkholderiales
OTU607,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp17,uncl_Acidobacteria_Gp17,uncl_Acidobacteria_Gp17,Gp17
OTU59,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU908,Generalists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU51924,Generalists,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,uncl_Micromonosporaceae
OTU236,NS,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,uncl_Steroidobacteraceae
OTU3894,NS,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter
OTU3434,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,uncl_Acidobacteria_Gp16
OTU8598,Specialists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter
OTU13173,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU1775,Specialists,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,uncl_Propionibacteriaceae
OTU2125,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU221,Specialists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,uncl_Devosiaceae
OTU1932,Specialists,Bacteria,Proteobacteria,Gammaproteobacteria,uncl_Gammaproteobacteria,uncl_Gammaproteobacteria,uncl_Gammaproteobacteria
OTU60311,Generalists,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,uncl_Opitutaceae
OTU1326,NS,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter
OTU36,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,Acidibacter
OTU179,Generalists,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU2443,Specialists,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,uncl_Sphingobacteriaceae
OTU2620,Generalists,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU215,Generalists,Bacteria,Actinobacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU647,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,uncl_Polyangiaceae
OTU10921,Specialists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU56476,Specialists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU1817,Generalists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter
OTU148,Specialists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
OTU384,Generalists,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
OTU419,Generalists,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Lacipirellulaceae,Lacipirellula
OTU48121,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU3433,Specialists,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,uncl_Blastocatellaceae
OTU2956,Generalists,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter
OTU51482,NS,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola
OTU84915,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,uncl_Acidobacteria_Gp16
OTU12131,NS,Bacteria,Actinobacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU1271,Generalists,Bacteria,Proteobacteria,Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria
OTU2187,Specialists,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,uncl_Microbacteriaceae
OTU6078,NS,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU716,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU23,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,uncl_Bradyrhizobiaceae
OTU6615,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella
OTU77487,NS,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU401,Generalists,Bacteria,Proteobacteria,Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria
OTU67528,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU35255,Specialists,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU83,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Boseaceae,Bosea
OTU2319,Specialists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU5749,Generalists,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncl_Comamonadaceae
