,sign,Domain,Phylum,Class,Order,Family,Genus
OTU17,Specialists,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora
OTU1139,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU539,Generalists,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
OTU14859,Specialists,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU1133,Generalists,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
OTU5,NS,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
OTU177,NS,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola
OTU88563,Specialists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU31,NS,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,uncl_Micromonosporaceae
OTU843,NS,Bacteria,Actinobacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU71,NS,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU61,Generalists,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Virgisporangium
OTU957,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU273,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,uncl_Gammaproteobacteria,uncl_Gammaproteobacteria,uncl_Gammaproteobacteria
OTU3,NS,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,uncl_Pseudonocardiaceae
OTU4781,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6
OTU49,Generalists,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium
OTU5652,Specialists,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,uncl_Pseudonocardiaceae
OTU774,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Reyranellaceae,Reyranella
OTU3092,NS,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU43,NS,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
OTU224,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
OTU4878,NS,Bacteria,Acidobacteria,Acidobacteria_Gp10,uncl_Acidobacteria_Gp10,uncl_Acidobacteria_Gp10,Gp10
OTU138,NS,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Chryseolinea
OTU904,Generalists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea
OTU77,Generalists,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium
OTU29389,NS,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,uncl_Pseudonocardiaceae
OTU614,NS,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
OTU83440,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
OTU2301,Generalists,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,uncl_Solirubrobacterales,uncl_Solirubrobacterales
OTU86477,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU8308,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
OTU94,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU13,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU62369,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
OTU1294,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
OTU3698,Specialists,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,uncl_Sphingobacteriaceae
OTU846,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,Gp16
OTU22643,NS,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,uncl_Conexibacteraceae
OTU46,NS,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,uncl_Microbacteriaceae
OTU53,Generalists,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncl_Comamonadaceae
OTU164,NS,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU395,Specialists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU250,NS,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU3570,NS,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Segniliparaceae,Segniliparus
OTU6537,NS,Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,uncl_Longimicrobiales,uncl_Longimicrobiales
OTU5806,NS,Bacteria,Verrucomicrobia,Spartobacteria,uncl_Spartobacteria,uncl_Spartobacteria,Spartobacteria_genera_incertae_sedis
OTU116,Generalists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas
OTU189,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,uncl_Gammaproteobacteria,uncl_Gammaproteobacteria,uncl_Gammaproteobacteria
OTU12,NS,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter
OTU321,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU623,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,Acidibacter
OTU451,NS,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,uncl_Burkholderiales,uncl_Burkholderiales
OTU36547,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
OTU97132,NS,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU586,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU73992,NS,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU552,Generalists,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus
OTU3783,NS,Bacteria,Armatimonadetes,uncl_Armatimonadetes,uncl_Armatimonadetes,uncl_Armatimonadetes,Armatimonadetes_gp5
OTU79,Specialists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium
OTU28,NS,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,uncl_Kineosporiaceae
OTU4061,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,uncl_Erythrobacteraceae
OTU10038,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU718,NS,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU515,Specialists,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces
OTU553,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU65,Specialists,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,uncl_Xanthomonadaceae
OTU76,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,Acidibacter
OTU683,Generalists,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,uncl_Solirubrobacterales,uncl_Solirubrobacterales
OTU124,Generalists,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia
OTU1114,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncl_Rhodospirillales,uncl_Rhodospirillales
OTU252,NS,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
OTU16425,NS,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
OTU285,NS,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,uncl_Micromonosporaceae
OTU1691,NS,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
OTU25369,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU27622,NS,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,Acidibacter
OTU88016,NS,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU62,Specialists,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas
OTU573,Generalists,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU7460,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU54,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,uncl_Erythrobacteraceae
OTU16078,Specialists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Chryseolinea
OTU1953,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
OTU296,Generalists,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter
OTU56102,Generalists,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
OTU183,NS,Bacteria,Proteobacteria,Gammaproteobacteria,uncl_Gammaproteobacteria,uncl_Gammaproteobacteria,uncl_Gammaproteobacteria
OTU10,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU180,NS,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
OTU55727,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,Gp16
OTU107,NS,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus
OTU832,NS,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus
OTU56182,Generalists,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
OTU12389,NS,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU643,NS,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
OTU108,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,uncl_Acidobacteria_Gp16,Gp16
OTU1971,Generalists,Bacteria,Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria
OTU60,Specialists,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,uncl_Micrococcaceae
OTU21,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,uncl_Rhizobiaceae
OTU2223,NS,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
OTU881,NS,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,Acidibacter
OTU41,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
OTU29992,Specialists,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,uncl_Pseudonocardiaceae
OTU408,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU37,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
OTU24,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga
OTU3873,Generalists,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,uncl_Opitutaceae
OTU4256,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU450,Generalists,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncl_Comamonadaceae
OTU3060,Generalists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU137,NS,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncl_Comamonadaceae
OTU82,Specialists,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
OTU2577,NS,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU178,NS,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,uncl_Xanthomonadales,uncl_Xanthomonadales
OTU20504,NS,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,uncl_Solirubrobacterales,uncl_Solirubrobacterales
OTU498,Generalists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU209,Generalists,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
OTU19494,Specialists,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
OTU3797,NS,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU1057,NS,Bacteria,Actinobacteria,Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia
OTU6123,Specialists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU170,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU555,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,uncl_Sphingomonadaceae
OTU2258,NS,Bacteria,Verrucomicrobia,Subdivision3,uncl_Subdivision3,uncl_Subdivision3,Subdivision3_genera_incertae_sedis
OTU845,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU8318,Specialists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU1132,Generalists,Bacteria,Verrucomicrobia,Spartobacteria,uncl_Spartobacteria,uncl_Spartobacteria,Spartobacteria_genera_incertae_sedis
OTU88,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU571,Specialists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU4,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
OTU712,Generalists,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,uncl_Nocardioidaceae
OTU486,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,uncl_Sphingomonadaceae
OTU100090,NS,Bacteria,Acidobacteria,Vicinamibacteria,uncl_Vicinamibacteria,uncl_Vicinamibacteria,uncl_Vicinamibacteria
OTU1009,NS,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae,Kofleria
OTU724,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,uncl_Cystobacteraceae
OTU51,Generalists,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Kribbellaceae,Kribbella
OTU6206,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU161,Generalists,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
OTU52424,NS,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU256,Specialists,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus
OTU100149,NS,Bacteria,Acidobacteria,Acidobacteria_Gp3,uncl_Acidobacteria_Gp3,uncl_Acidobacteria_Gp3,Gp3
OTU15,Generalists,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium
OTU316,Generalists,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Virgisporangium
OTU42,NS,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium
OTU30,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
OTU8158,NS,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU660,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU212,Generalists,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola
OTU205,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,uncl_Hyphomicrobiaceae
OTU12222,NS,Bacteria,Actinobacteria,Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia
OTU53725,Generalists,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,uncl_Micromonosporaceae
OTU151,NS,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,uncl_Burkholderiales,uncl_Burkholderiales
OTU579,Generalists,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
OTU200,Generalists,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter
OTU2166,Generalists,Bacteria,Verrucomicrobia,Spartobacteria,uncl_Spartobacteria,uncl_Spartobacteria,Spartobacteria_genera_incertae_sedis
OTU633,Generalists,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas
OTU268,Generalists,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU67,Specialists,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea
OTU8959,NS,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
OTU2621,NS,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU225,Generalists,Bacteria,Acidobacteria,Acidobacteria_Gp3,uncl_Acidobacteria_Gp3,uncl_Acidobacteria_Gp3,Gp3
OTU211,Generalists,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
OTU3741,NS,Bacteria,candidate_division_WPS-1,uncl_candidate_division_WPS-1,uncl_candidate_division_WPS-1,uncl_candidate_division_WPS-1,WPS-1_genera_incertae_sedis
OTU600,NS,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,uncl_Steroidobacteraceae
OTU2803,NS,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU11655,NS,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU480,Specialists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea
OTU737,NS,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU29,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia
OTU9686,Specialists,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix
OTU1299,NS,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora
OTU3021,Generalists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU3734,NS,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncl_Gemmatimonadaceae
OTU323,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU2025,Generalists,Bacteria,Actinobacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU26733,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU28009,NS,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,uncl_Solirubrobacterales,uncl_Solirubrobacterales
OTU696,Generalists,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,uncl_Chitinophagaceae
OTU925,Generalists,Bacteria,Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria
OTU62459,NS,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis
OTU542,Generalists,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Parviterribacteraceae,uncl_Parviterribacteraceae
OTU90705,NS,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU332,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU713,NS,Bacteria,Acidobacteria,Acidobacteria_Gp7,uncl_Acidobacteria_Gp7,uncl_Acidobacteria_Gp7,Gp7
OTU2762,NS,Bacteria,Acidobacteria,Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,uncl_Acidobacteria_Gp6,Gp6
OTU143,NS,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
OTU2004,NS,Bacteria,Acidobacteria,Acidobacteria_Gp7,uncl_Acidobacteria_Gp7,uncl_Acidobacteria_Gp7,Gp7
OTU61883,NS,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,uncl_Micrococcales,uncl_Micrococcales
OTU21039,NS,Bacteria,Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria
OTU410,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU26,Specialists,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncl_Comamonadaceae
OTU1645,NS,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
OTU5597,NS,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,uncl_Flavobacteriaceae
OTU56636,NS,Bacteria,Actinobacteria,Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia
OTU3500,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,Acidibacter
OTU596,NS,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU422,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU8,Specialists,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
OTU68,Generalists,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncl_Acidimicrobiales,uncl_Acidimicrobiales
OTU10371,Generalists,Bacteria,Verrucomicrobia,Spartobacteria,uncl_Spartobacteria,uncl_Spartobacteria,Spartobacteria_genera_incertae_sedis
OTU229,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,uncl_Gammaproteobacteria_incertae_sedis,Acidibacter
OTU1426,Generalists,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU1151,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
OTU1403,NS,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Parviterribacteraceae,Parviterribacter
OTU1423,Specialists,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
